N,n,seed,edge_source,resolution,t,P0,d_s
4,0.4,56792,all,1.0,156,0.09875,-0.0
4,0.4,56792,all,1.0,157,0.0,-3.069998645882381
4,0.4,56792,all,1.0,158,0.1007,-0.0
4,0.4,56792,all,1.0,159,0.0,-0.23666276293305633
4,0.4,56792,all,1.0,160,0.10085,-0.0
4,0.4,56792,all,1.0,161,0.0,2.89949080504643
4,0.4,56792,all,1.0,162,0.09905,-0.0
4,0.4,56792,all,1.0,163,0.0,1.0731734967907918
4,0.4,56792,all,1.0,164,0.0984,-0.0
4,0.4,56792,all,1.0,165,0.0,-6.3326209565814855
4,0.4,56792,all,1.0,166,0.10225,-0.0
4,0.4,56792,all,1.0,167,0.0,4.720813345431167
4,0.4,56792,all,1.0,168,0.0994,-0.0
4,0.4,56792,all,1.0,169,0.0,3.5218144279888026
4,0.4,56792,all,1.0,170,0.09735,-0.0
4,0.4,56792,all,1.0,171,0.0,-4.592572308860898
4,0.4,56792,all,1.0,172,0.1,-0.0
4,0.4,56792,all,1.0,173,0.0,6.253092623062568
4,0.4,56792,all,1.0,174,0.09645,-0.0
4,0.4,56792,all,1.0,175,0.0,0.18153331007700974
4,0.4,56792,all,1.0,176,0.09635,-0.0
4,0.4,56792,all,1.0,177,0.0,-6.84658225605574
4,0.4,56792,all,1.0,178,0.10015,-0.0
4,0.4,56792,all,1.0,179,0.0,-1.778436266826029
4,0.4,56792,all,1.0,180,0.10115,-0.0
4,0.4,56792,all,1.0,181,0.0,-3.1926029602970285
4,0.4,56792,all,1.0,182,0.10295,-0.0
4,0.4,56792,all,1.0,183,0.0,12.695415233142796
4,0.4,56792,all,1.0,184,0.09605,-0.0
4,0.4,56792,all,1.0,185,0.0,-4.283658797338321
4,0.4,56792,all,1.0,186,0.0983,-0.0
4,0.4,56792,all,1.0,187,0.0,0.2855661803961009
4,0.4,56792,all,1.0,188,0.09815,-0.0
4,0.4,56792,all,1.0,189,0.0,4.9752085983747
4,0.4,56792,all,1.0,190,0.0956,-0.0
4,0.4,56792,all,1.0,191,0.0,2.2104200441827198
4,0.4,56792,all,1.0,192,0.0945,-0.0
4,0.4,56792,all,1.0,193,0.0,-1.7282025609549037
4,0.4,56792,all,1.0,194,0.09535,-0.0
4,0.4,56792,all,1.0,195,0.0,-3.546442344735283
4,0.4,56792,all,1.0,196,0.0971,-0.0
4,0.4,56792,all,1.0,197,0.0,-3.219655860718041
4,0.4,56792,all,1.0,198,0.0987,-0.0
4,0.4,56792,all,1.0,199,0.0,8.548202161822296
4,0.4,56792,all,1.0,200,0.09455,
4,0.4,56793,all,1.0,0,1.0,
4,0.4,56793,all,1.0,1,0.0,
4,0.4,56793,all,1.0,2,0.5257,-0.0
4,0.4,56793,all,1.0,3,0.0,0.7726533065330475
4,0.4,56793,all,1.0,4,0.4022,-0.0
4,0.4,56793,all,1.0,5,0.0,0.7925605257920654
4,0.4,56793,all,1.0,6,0.3425,-0.0
4,0.4,56793,all,1.0,7,0.0,0.7686584338606591
4,0.4,56793,all,1.0,8,0.30665,-0.0
4,0.4,56793,all,1.0,9,0.0,0.9324836248234026
4,0.4,56793,all,1.0,10,0.27635,-0.0
4,0.4,56793,all,1.0,11,0.0,0.8155327565057648
4,0.4,56793,all,1.0,12,0.25655,-0.0
4,0.4,56793,all,1.0,13,0.0,0.8435820691777998
4,0.4,56793,all,1.0,14,0.2404,-0.0
4,0.4,56793,all,1.0,15,0.0,0.5423981748683132
4,0.4,56793,all,1.0,16,0.23185,-0.0
4,0.4,56793,all,1.0,17,0.0,0.6837153814173361
4,0.4,56793,all,1.0,18,0.2227,-0.0
4,0.4,56793,all,1.0,19,0.0,1.2097622144593871
4,0.4,56793,all,1.0,20,0.20895,-0.0
4,0.4,56793,all,1.0,21,0.0,0.824418066437281
4,0.4,56793,all,1.0,22,0.2009,-0.0
4,0.4,56793,all,1.0,23,0.0,1.227829756162625
4,0.4,56793,all,1.0,24,0.19045,-0.0
4,0.4,56793,all,1.0,25,0.0,0.577330026631453
4,0.4,56793,all,1.0,26,0.1861,-0.0
4,0.4,56793,all,1.0,27,0.0,0.21840677444705403
4,0.4,56793,all,1.0,28,0.1846,-0.0
4,0.4,56793,all,1.0,29,0.0,0.5548966658969773
4,0.4,56793,all,1.0,30,0.1811,-0.0
4,0.4,56793,all,1.0,31,0.0,1.6878632272119256
4,0.4,56793,all,1.0,32,0.1715,-0.0
4,0.4,56793,all,1.0,33,0.0,-0.08644904310380774
4,0.4,56793,all,1.0,34,0.17195,-0.0
4,0.4,56793,all,1.0,35,0.0,0.4608792915414698
4,0.4,56793,all,1.0,36,0.1697,-0.0
4,0.4,56793,all,1.0,37,0.0,1.0389547559397447
4,0.4,56793,all,1.0,38,0.165,-0.0
4,0.4,56793,all,1.0,39,0.0,0.5833053746806036
4,0.4,56793,all,1.0,40,0.16255,-0.0
4,0.4,56793,all,1.0,41,0.0,1.7385681739451326
4,0.4,56793,all,1.0,42,0.1558,-0.0
4,0.4,56793,all,1.0,43,0.0,0.17973951578480776
4,0.4,56793,all,1.0,44,0.15515,-0.0
4,0.4,56793,all,1.0,45,0.0,0.11614744524788154
4,0.4,56793,all,1.0,46,0.15475,-0.0
4,0.4,56793,all,1.0,47,0.0,0.997437918794095
4,0.4,56793,all,1.0,48,0.1515,-0.0
4,0.4,56793,all,1.0,49,0.0,0.38960997785394563
4,0.4,56793,all,1.0,50,0.1503,-0.0
4,0.4,56793,all,1.0,51,0.0,0.6315589163693487
4,0.4,56793,all,1.0,52,0.14845,-0.0
4,0.4,56793,all,1.0,53,0.0,0.9182085375041731
4,0.4,56793,all,1.0,54,0.1459,-0.0
4,0.4,56793,all,1.0,55,0.0,1.8396900559625504
4,0.4,56793,all,1.0,56,0.1411,-0.0
4,0.4,56793,all,1.0,57,0.0,-0.7822652844731837
4,0.4,56793,all,1.0,58,0.14305,-0.0
4,0.4,56793,all,1.0,59,0.0,1.9495376865747027
4,0.4,56793,all,1.0,60,0.1384,-0.0
4,0.4,56793,all,1.0,61,0.0,-0.8099160090566997
4,0.4,56793,all,1.0,62,0.14025,-0.0
4,0.4,56793,all,1.0,63,0.0,1.2016630549418497
4,0.4,56793,all,1.0,64,0.1376,-0.0
4,0.4,56793,all,1.0,65,0.0,0.1892137332592842
4,0.4,56793,all,1.0,66,0.1372,-0.0
4,0.4,56793,all,1.0,67,0.0,2.461775360062891
4,0.4,56793,all,1.0,68,0.13225,-0.0
4,0.4,56793,all,1.0,69,0.0,0.7870256685315062
4,0.4,56793,all,1.0,70,0.13075,-0.0
4,0.4,56793,all,1.0,71,0.0,-1.131208608069063
4,0.4,56793,all,1.0,72,0.13285,-0.0
4,0.4,56793,all,1.0,73,0.0,2.8860138263482367
4,0.4,56793,all,1.0,74,0.1277,-0.0
4,0.4,56793,all,1.0,75,0.0,-0.9917876482517543
4,0.4,56793,all,1.0,76,0.1294,-0.0
4,0.4,56793,all,1.0,77,0.0,2.817783418336921
4,0.4,56793,all,1.0,78,0.12475,-0.0
4,0.4,56793,all,1.0,79,0.0,1.6961463273829205
4,0.4,56793,all,1.0,80,0.1221,-0.0
4,0.4,56793,all,1.0,81,0.0,-1.9983820400393428
4,0.4,56793,all,1.0,82,0.12515,-0.0
4,0.4,56793,all,1.0,83,0.0,0.33225017861939604
